X-coordinate,Electric Potential,,,,,,
-2.32,1.10E-04,,,,,,
-2.3,1.12E-04,,,,,,
-2.28,1.14E-04,,,,,,
-2.26,1.16E-04,,,,,,
-2.24,1.18E-04,,,,,,
-2.22,1.20E-04,,,,,,
-2.2,1.22E-04,,,,,,
-2.18,1.24E-04,,,,,,
-2.16,1.27E-04,,,,,,
-2.14,1.29E-04,,,,,,
-2.12,1.32E-04,,,,,,
-2.1,1.34E-04,,,,,,
-2.08,1.37E-04,,,,,,
-2.06,1.39E-04,,,,,,
-2.04,1.42E-04,,,,,,
-2.02,1.45E-04,,,,,,
-2,1.48E-04,,,,,,
-1.98,1.51E-04,,,,,,
-1.96,1.54E-04,,,,,,
-1.94,1.57E-04,,,,,,
-1.92,1.60E-04,,,,,,
-1.9,1.64E-04,,,,,,
-1.88,1.67E-04,,,,,,
-1.86,1.71E-04,,,,,,
-1.84,1.75E-04,,,,,,
-1.82,1.79E-04,,,,,,
-1.8,1.83E-04,,,,,,
-1.78,1.87E-04,,,,,,
-1.76,1.91E-04,,,,,,
-1.74,1.95E-04,,,,,,
-1.72,2.00E-04,,,,,,
-1.7,2.05E-04,,,,,,
-1.68,2.10E-04,,,,,,
-1.66,2.15E-04,,,,,,
-1.64,2.20E-04,,,,,,
-1.62,2.25E-04,,,,,,
-1.6,2.31E-04,,,,,,
-1.58,2.37E-04,,,,,,
-1.56,2.43E-04,,,,,,
-1.54,2.49E-04,,,,,,
-1.52,2.56E-04,,,,,,
-1.5,2.63E-04,,,,,,
-1.48,2.70E-04,,,,,,
-1.46,2.78E-04,,,,,,
-1.44,2.85E-04,,,,,,
-1.42,2.93E-04,,,,,,
-1.4,3.02E-04,,,,,,
-1.38,3.11E-04,,,,,,
-1.36,3.20E-04,,,,,,
-1.34,3.30E-04,,,,,,
-1.32,3.40E-04,,,,,,
-1.3,3.50E-04,,,,,,
-1.28,3.61E-04,,,,,,
-1.26,3.73E-04,,,,,,
-1.24,3.85E-04,,,,,,
-1.22,3.98E-04,,,,,,
-1.2,4.11E-04,,,,,,
-1.18,4.25E-04,,,,,,
-1.16,4.40E-04,,,,,,
-1.14,4.55E-04,,,,,,
-1.12,4.72E-04,,,,,,
-1.1,4.89E-04,,,,,,
-1.08,5.08E-04,,,,,,
-1.06,5.27E-04,,,,,,
-1.04,5.47E-04,,,,,,
-1.02,5.69E-04,,,,,,
-1,5.92E-04,,,,,,
-0.98,6.17E-04,,,,,,
-0.96,6.43E-04,,,,,,
-0.94,6.70E-04,,,,,,
-0.92,7.00E-04,,,,,,
-0.9,7.31E-04,,,,,,
-0.88,7.65E-04,,,,,,
-0.86,8.01E-04,,,,,,
-0.84,8.40E-04,,,,,,
-0.82,8.81E-04,,,,,,
-0.8,9.26E-04,,,,,,
-0.78,9.74E-04,,,,,,
-0.76,0.00102602,,,,,,
-0.74,0.001082332,,,,,,
-0.72,0.001143408,,,,,,
-0.7,0.001209803,,,,,,
-0.68,0.001282153,,,,,,
-0.66,0.001361191,,,,,,
-0.64,0.001447768,,,,,,
-0.62,0.001542874,,,,,,
-0.6,0.001647666,,,,,,
-0.58,0.001763506,,,,,,
-0.56,0.001892002,,,,,,
-0.54,0.002035068,,,,,,
-0.52,0.002194991,,,,,,
-0.5,0.002374527,,,,,,
-0.48,0.002577017,,,,,,
-0.46,0.002806547,,,,,,
-0.44,0.003068152,,,,,,
-0.42,0.003368097,,,,,,
-0.4,0.003714253,,,,,,
-0.38,0.004116616,,,,,,
-0.36,0.004588041,,,,,,
-0.34,0.005145275,,,,,,
-0.32,0.005810461,,,,,,
-0.3,0.006613369,,,,,,
-0.28,0.007594772,,,,,,
-0.26,0.008811711,,,,,,
-0.24,0.010345934,,,,,,
-0.22,0.012317925,,,,,,
-0.2,0.014911157,,,,,,
-0.18,0.018416054,,,,,,
-0.16,0.023314236,,,,,,
-0.14,0.030451313,,,,,,
-0.12,0.041422117,,,,,,
-0.1,0.059525418,,,,,,
-0.08,0.092479457,,,,,,
-0.06,0.161714415,,,,,,
-0.04,0.342954974,,,,,,
-0.02,0.944328203,,,,,,
-1.25E-13,-2,,,,,,
0.02,-0.851450017,,,,,,
0.04,-0.29997955,,,,,,
0.06,-0.146311483,,,,,,
0.08,-0.085549563,,,,,,
0.1,-0.055871521,,,,,,
0.12,-0.039273804,,,,,,
0.14,-0.029085495,,,,,,
0.16,-0.022393585,,,,,,
0.18,-0.017766716,,,,,,
0.2,-0.014436361,,,,,,
0.22,-0.011960407,,,,,,
0.24,-0.010070087,,,,,,
0.26,-0.008594464,,,,,,
0.28,-0.00742065,,,,,,
0.3,-0.006471681,,,,,,
0.32,-0.005693633,,,,,,
0.34,-0.005047819,,,,,,
0.36,-0.004505903,,,,,,
0.38,-0.004046748,,,,,,
0.4,-0.003654329,,,,,,
0.42,-0.003316318,,,,,,
0.44,-0.003023106,,,,,,
0.46,-0.002767116,,,,,,
0.48,-0.002542305,,,,,,
0.5,-0.00234381,,,,,,
0.52,-0.00216768,,,,,,
0.54,-0.002010677,,,,,,
0.56,-0.00187013,,,,,,
0.58,-0.001743817,,,,,,
0.6,-0.001629879,,,,,,
0.62,-0.001526752,,,,,,
0.64,-0.00143311,,,,,,
0.66,-0.001347825,,,,,,
0.68,-0.001269931,,,,,,
0.7,-0.001198598,,,,,,
0.72,-0.00113311,,,,,,
0.74,-0.001072846,,,,,,
0.76,-0.001017264,,,,,,
0.78,-9.66E-04,,,,,,
0.8,-9.18E-04,,,,,,
0.82,-8.74E-04,,,,,,
0.84,-8.33E-04,,,,,,
0.86,-7.95E-04,,,,,,
0.88,-7.59E-04,,,,,,
0.9,-7.26E-04,,,,,,
0.92,-6.95E-04,,,,,,
0.94,-6.66E-04,,,,,,
0.96,-6.38E-04,,,,,,
0.98,-6.12E-04,,,,,,
1,-5.88E-04,,,,,,
1.02,-5.65E-04,,,,,,
1.04,-5.44E-04,,,,,,
1.06,-5.24E-04,,,,,,
1.08,-5.04E-04,,,,,,
1.1,-4.86E-04,,,,,,
1.12,-4.69E-04,,,,,,
1.14,-4.53E-04,,,,,,
1.16,-4.37E-04,,,,,,
1.18,-4.23E-04,,,,,,
1.2,-4.09E-04,,,,,,
1.22,-3.96E-04,,,,,,
1.24,-3.83E-04,,,,,,
1.26,-3.71E-04,,,,,,
1.28,-3.59E-04,,,,,,
1.3,-3.48E-04,,,,,,
1.32,-3.38E-04,,,,,,
1.34,-3.28E-04,,,,,,
1.36,-3.18E-04,,,,,,
1.38,-3.09E-04,,,,,,
1.4,-3.00E-04,,,,,,
1.42,-2.92E-04,,,,,,
1.44,-2.84E-04,,,,,,
1.46,-2.76E-04,,,,,,
1.48,-2.69E-04,,,,,,
1.5,-2.62E-04,,,,,,
1.52,-2.55E-04,,,,,,
1.54,-2.48E-04,,,,,,
1.56,-2.42E-04,,,,,,
1.58,-2.36E-04,,,,,,
1.6,-2.30E-04,,,,,,
1.62,-2.24E-04,,,,,,
1.64,-2.19E-04,,,,,,
1.66,-2.14E-04,,,,,,
1.68,-2.09E-04,,,,,,
1.7,-2.04E-04,,,,,,
1.72,-1.99E-04,,,,,,
1.74,-1.95E-04,,,,,,
1.76,-1.90E-04,,,,,,
1.78,-1.86E-04,,,,,,
1.8,-1.82E-04,,,,,,
1.82,-1.78E-04,,,,,,
1.84,-1.74E-04,,,,,,
1.86,-1.70E-04,,,,,,
1.88,-1.67E-04,,,,,,
1.9,-1.63E-04,,,,,,
1.92,-1.60E-04,,,,,,
1.94,-1.57E-04,,,,,,
1.96,-1.53E-04,,,,,,
1.98,-1.50E-04,,,,,,
2,-1.47E-04,,,,,,
2.02,-1.44E-04,,,,,,
2.04,-1.42E-04,,,,,,
2.06,-1.39E-04,,,,,,
2.08,-1.36E-04,,,,,,
2.1,-1.34E-04,,,,,,
2.12,-1.31E-04,,,,,,
2.14,-1.29E-04,,,,,,
2.16,-1.26E-04,,,,,,
2.18,-1.24E-04,,,,,,
2.2,-1.22E-04,,,,,,
2.22,-1.20E-04,,,,,,
2.24,-1.17E-04,,,,,,
2.26,-1.15E-04,,,,,,
2.28,-1.13E-04,,,,,,
2.3,-1.11E-04,,,,,,
2.32,-1.10E-04,,,,,,
2.34,-1.08E-04,,,,,,
2.36,-1.06E-04,,,,,,
2.38,-1.04E-04,,,,,,
2.4,-1.02E-04,,,,,,
2.42,-1.01E-04,,,,,,
2.44,-9.90E-05,,,,,,
2.46,-9.74E-05,,,,,,
2.48,-9.59E-05,,,,,,
2.5,-9.43E-05,,,,,,
2.52,-9.28E-05,,,,,,
2.54,-9.14E-05,,,,,,
2.56,-9.00E-05,,,,,,
2.58,-8.86E-05,,,,,,
2.6,-8.72E-05,,,,,,
2.62,-8.59E-05,,,,,,
2.64,-8.46E-05,,,,,,
2.66,-8.33E-05,,,,,,
2.68,-8.21E-05,,,,,,
2.7,-8.09E-05,,,,,,
2.72,-7.97E-05,,,,,,
2.74,-7.85E-05,,,,,,
2.76,-7.74E-05,,,,,,
2.78,-7.63E-05,,,,,,
2.8,-7.52E-05,,,,,,
2.82,-7.41E-05,,,,,,
2.84,-7.31E-05,,,,,,
2.86,-7.21E-05,,,,,,
2.88,-7.11E-05,,,,,,
2.9,-7.01E-05,,,,,,
2.92,-6.92E-05,,,,,,
2.94,-6.82E-05,,,,,,
2.96,-6.73E-05,,,,,,
2.98,-6.64E-05,,,,,,
3,-6.55E-05,,,,,,
3.02,-6.47E-05,,,,,,
3.04,-6.38E-05,,,,,,
3.06,-6.30E-05,,,,,,
3.08,-6.22E-05,,,,,,
3.1,-6.14E-05,,,,,,
3.12,-6.06E-05,,,,,,
3.14,-5.98E-05,,,,,,
3.16,-5.91E-05,,,,,,
3.18,-5.83E-05,,,,,,
3.2,-5.76E-05,,,,,,
3.22,-5.69E-05,,,,,,
3.24,-5.62E-05,,,,,,
3.26,-5.55E-05,,,,,,
3.28,-5.48E-05,,,,,,
3.3,-5.42E-05,,,,,,
3.32,-5.35E-05,,,,,,
3.34,-5.29E-05,,,,,,
3.36,-5.22E-05,,,,,,
3.38,-5.16E-05,,,,,,
3.4,-5.10E-05,,,,,,
3.42,-5.04E-05,,,,,,
3.44,-4.98E-05,,,,,,
3.46,-4.93E-05,,,,,,
3.48,-4.87E-05,,,,,,
3.5,-4.81E-05,,,,,,
3.52,-4.76E-05,,,,,,
3.54,-4.71E-05,,,,,,
3.56,-4.65E-05,,,,,,
3.58,-4.60E-05,,,,,,
3.6,-4.55E-05,,,,,,
3.62,-4.50E-05,,,,,,
3.64,-4.45E-05,,,,,,
3.66,-4.40E-05,,,,,,
3.68,-4.36E-05,,,,,,
3.7,-4.31E-05,,,,,,
3.72,-4.26E-05,,,,,,
3.74,-4.22E-05,,,,,,
3.76,-4.17E-05,,,,,,
3.78,-4.13E-05,,,,,,
3.8,-4.08E-05,,,,,,
3.82,-4.04E-05,,,,,,
3.84,-4.00E-05,,,,,,
3.86,-3.96E-05,,,,,,
3.88,-3.92E-05,,,,,,
3.9,-3.88E-05,,,,,,
3.92,-3.84E-05,,,,,,
3.94,-3.80E-05,,,,,,
3.96,-3.76E-05,,,,,,
3.98,-3.72E-05,,,,,,
4,-3.69E-05,,,,,,
4.02,-3.65E-05,,,,,,
4.04,-3.61E-05,,,,,,
4.06,-3.58E-05,,,,,,
4.08,-3.54E-05,,,,,,
4.1,-3.51E-05,,,,,,
4.12,-3.48E-05,,,,,,
4.14,-3.44E-05,,,,,,
4.16,-3.41E-05,,,,,,
4.18,-3.38E-05,,,,,,
4.2,-3.34E-05,,,,,,
4.22,-3.31E-05,,,,,,
4.24,-3.28E-05,,,,,,
4.26,-3.25E-05,,,,,,
