Y-coordinate,Electric Potential,,,,,
-0.04,-1.30E-04,,,,,
-0.038,-1.42E-04,,,,,
-0.036,-1.56E-04,,,,,
-0.034,-1.72E-04,,,,,
-0.032,-1.91E-04,,,,,
-0.03,-2.15E-04,,,,,
-0.028,-2.44E-04,,,,,
-0.026,-2.83E-04,,,,,
-0.024,-3.34E-04,,,,,
-0.022,-4.06E-04,,,,,
-0.02,-5.09E-04,,,,,
-0.018,-6.65E-04,,,,,
-0.016,-9.09E-04,,,,,
-0.014,-0.001308751,,,,,
-0.012,-0.001994586,,,,,
-0.01,-0.003232856,,,,,
-0.008,-0.005624384,,,,,
-0.006,-0.010664841,,,,,
-0.004,-0.015284313,,,,,
-0.002,0.03555771,,,,,
8.74E-16,-2,,,,,
0.002,0.025643287,,,,,
0.004,-0.011448237,,,,,
0.006,8.18E-04,,,,,
0.008,0.002677887,,,,,
0.01,0.00241128,,,,,
0.012,0.001976858,,,,,
0.014,0.001607442,,,,,
0.016,0.001316682,,,,,
0.018,0.001090065,,,,,
0.02,9.12E-04,,,,,
0.022,7.72E-04,,,,,
0.024,6.59E-04,,,,,
0.026,5.68E-04,,,,,
0.028,4.94E-04,,,,,
0.03,4.32E-04,,,,,
0.032,3.81E-04,,,,,
0.034,3.38E-04,,,,,
0.036,3.02E-04,,,,,
0.038,2.71E-04,,,,,
0.04,2.44E-04,,,,,
0.042,2.21E-04,,,,,
0.044,2.01E-04,,,,,
0.046,1.84E-04,,,,,
0.048,1.68E-04,,,,,
0.05,1.55E-04,,,,,
0.052,1.43E-04,,,,,
0.054,1.32E-04,,,,,
0.056,1.22E-04,,,,,
0.058,1.14E-04,,,,,
0.06,1.06E-04,,,,,
0.062,9.89E-05,,,,,
0.064,9.26E-05,,,,,
0.066,8.68E-05,,,,,
0.068,8.16E-05,,,,,
0.07,7.68E-05,,,,,
0.072,7.24E-05,,,,,
0.074,6.84E-05,,,,,
0.076,6.46E-05,,,,,
0.078,6.12E-05,,,,,
0.08,5.81E-05,,,,,
0.082,5.52E-05,,,,,
0.084,5.24E-05,,,,,
0.086,4.99E-05,,,,,
0.088,4.76E-05,,,,,
0.09,4.54E-05,,,,,
0.092,4.34E-05,,,,,
0.094,4.15E-05,,,,,
0.096,3.97E-05,,,,,
0.098,3.80E-05,,,,,
0.1,3.64E-05,,,,,
0.102,3.50E-05,,,,,
0.104,3.36E-05,,,,,
0.106,3.23E-05,,,,,
0.108,3.10E-05,,,,,
0.11,2.99E-05,,,,,
0.112,2.88E-05,,,,,
0.114,2.77E-05,,,,,
0.116,2.67E-05,,,,,
0.118,2.58E-05,,,,,
0.12,2.49E-05,,,,,
0.122,2.41E-05,,,,,
0.124,2.33E-05,,,,,
0.126,2.25E-05,,,,,
0.128,2.18E-05,,,,,
0.13,2.11E-05,,,,,
0.132,2.04E-05,,,,,
0.134,1.98E-05,,,,,
0.136,1.92E-05,,,,,
0.138,1.86E-05,,,,,
0.14,1.81E-05,,,,,
0.142,1.76E-05,,,,,
0.144,1.71E-05,,,,,
0.146,1.66E-05,,,,,
0.148,1.61E-05,,,,,
0.15,1.57E-05,,,,,
0.152,1.52E-05,,,,,
0.154,1.48E-05,,,,,
0.156,1.44E-05,,,,,
0.158,1.41E-05,,,,,
0.16,1.37E-05,,,,,
0.162,1.34E-05,,,,,
0.164,1.30E-05,,,,,
0.166,1.27E-05,,,,,
