Z-coordinate,Electric Potential,,,,,,,,,,,,,
0.005306667,-0.001529128,,,,,,,,,,,,,
0.0053075,-0.001528704,,,,,,,,,,,,,
0.005308333,-0.001528281,,,,,,,,,,,,,
0.005309167,-0.001527858,,,,,,,,,,,,,
0.00531,-0.001527435,,,,,,,,,,,,,
0.005310833,-0.001527012,,,,,,,,,,,,,
0.005311667,-0.001526589,,,,,,,,,,,,,
0.0053125,-0.001526167,,,,,,,,,,,,,
0.005313333,-0.001525745,,,,,,,,,,,,,
0.005314167,-0.001525323,,,,,,,,,,,,,
0.005315,-0.001524901,,,,,,,,,,,,,
0.005315833,-0.001524479,,,,,,,,,,,,,
0.005316667,-0.001524058,,,,,,,,,,,,,
0.0053175,-0.001523636,,,,,,,,,,,,,
0.005318333,-0.001523215,,,,,,,,,,,,,
0.005319167,-0.001522795,,,,,,,,,,,,,
0.00532,-0.001522374,,,,,,,,,,,,,
0.005320833,-0.001521953,,,,,,,,,,,,,
0.005321667,-0.001521533,,,,,,,,,,,,,
0.0053225,-0.001521113,,,,,,,,,,,,,
0.005323333,-0.001520693,,,,,,,,,,,,,
0.005324167,-0.001520273,,,,,,,,,,,,,
0.005325,-0.001519854,,,,,,,,,,,,,
0.005325833,-0.001519435,,,,,,,,,,,,,
0.005326667,-0.001519015,,,,,,,,,,,,,
0.0053275,-0.001518596,,,,,,,,,,,,,
0.005328333,-0.001518178,,,,,,,,,,,,,
0.005329167,-0.001517759,,,,,,,,,,,,,
0.00533,-0.001517341,,,,,,,,,,,,,
0.005330833,-0.001516923,,,,,,,,,,,,,
0.005331667,-0.001516505,,,,,,,,,,,,,
0.0053325,-0.001516087,,,,,,,,,,,,,
0.005333333,-0.001515669,,,,,,,,,,,,,
0.005334167,-0.001515252,,,,,,,,,,,,,
0.005335,-0.001514835,,,,,,,,,,,,,
0.005335833,-0.001514418,,,,,,,,,,,,,
0.005336667,-0.001514001,,,,,,,,,,,,,
0.0053375,-0.001513584,,,,,,,,,,,,,
0.005338333,-0.001513168,,,,,,,,,,,,,
0.005339167,-0.001512751,,,,,,,,,,,,,
0.00534,-0.001512335,,,,,,,,,,,,,
0.005340833,-0.00151192,,,,,,,,,,,,,
0.005341667,-0.001511504,,,,,,,,,,,,,
