"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy","V/Cm"
"239643.81452472942","245107.2933751751","-133849.01196299016","179755.36045578856","183852.96958368664","-100409.25872725405","1","1.602176634E-19","3.300000000000002E-9","3.3444950551171926E-27","1.4396362489295565E-6","7.952833763987963E-4","7.967230126477258E-4","1.724110290465648E-27"
"239643.8145337304","245107.29338438265","-133849.0119680026","179755.36045580442","183852.96958370454","-100409.25872724442","1","1.602176634E-19","3.350000000000002E-9","3.3444950551171926E-27","1.4396362631660416E-6","7.952833763989043E-4","7.967230126620703E-4","1.7241102962341187E-27"
"239643.8145427314","245107.2933935902","-133849.01197301506","179755.36045582028","183852.96958372244","-100409.25872723479","1","1.602176634E-19","3.400000000000002E-9","3.3444950551171926E-27","1.4396362760625352E-6","7.952833763990123E-4","7.967230126750748E-4","1.724110291565684E-27"
"239643.81455173236","245107.29340279775","-133849.0119780275","179755.3604558361","183852.96958374037","-100409.25872722515","1","1.602176634E-19","3.450000000000002E-9","3.3444950551171926E-27","1.4396362428301288E-6","7.952833763991205E-4","7.967230126419506E-4","1.7241102874161138E-27"
"239643.81456073336","245107.2934120053","-133849.01198303996","179755.36045585197","183852.96958375827","-100409.25872721552","1","1.602176634E-19","3.500000000000002E-9","3.3444950551171926E-27","1.4396362466986124E-6","7.952833763992284E-4","7.967230126459271E-4","1.724110295329011E-27"
"239643.81456973433","245107.29342121285","-133849.0119880524","179755.36045586783","183852.96958377617","-100409.25872720587","1","1.602176634E-19","3.550000000000002E-9","3.3444950551171926E-27","1.4396362486162562E-6","7.952833763993365E-4","7.967230126479528E-4","1.7241102908633887E-27"
"239643.81457873533","245107.29343042042","-133849.01199306487","179755.3604558837","183852.96958379407","-100409.25872719624","1","1.602176634E-19","3.600000000000002E-9","3.3444950551171926E-27","1.4396362505566363E-6","7.952833763994445E-4","7.967230126500012E-4","1.7241102906070213E-27"
"239643.8145877363","245107.29343962797","-133849.0119980773","179755.36045589956","183852.969583812","-100409.2587271866","1","1.602176634E-19","3.650000000000002E-9","3.3444950551171926E-27","1.4396362500005196E-6","7.952833763995525E-4","7.96723012649553E-4","1.724110291329093E-27"
"239643.8145967373","245107.29344883552","-133849.01200308977","179755.36045591542","183852.9695838299","-100409.25872717697","1","1.602176634E-19","3.700000000000002E-9","3.3444950551171926E-27","1.4396362564788971E-6","7.952833763996604E-4","7.967230126561393E-4","1.7241102919606274E-27"
"239643.81460573827","245107.29345804307","-133849.01200810223","179755.36045593128","183852.9695838478","-100409.25872716734","1","1.602176634E-19","3.750000000000002E-9","3.3444950551171926E-27","1.4396362606958206E-6","7.952833763997684E-4","7.967230126604642E-4","1.7241102914184012E-27"
"239643.81461473927","245107.29346725062","-133849.01201311467","179755.36045594714","183852.9695838657","-100409.2587271577","1","1.602176634E-19","3.800000000000002E-9","3.3444950551171926E-27","1.4396362568777237E-6","7.952833763998764E-4","7.967230126567541E-4","1.724110291996167E-27"
"239643.81462374024","245107.29347645817","-133849.01201812713","179755.360455963","183852.96958388362","-100409.25872714807","1","1.602176634E-19","3.850000000000001E-9","3.3444950551171926E-27","1.4396362451519236E-6","7.952833763999846E-4","7.967230126451365E-4","1.7241102917166495E-27"
"239643.81463274124","245107.29348566572","-133849.01202313957","179755.36045597887","183852.96958390152","-100409.25872713844","1","1.602176634E-19","3.900000000000001E-9","3.3444950551171926E-27","1.4396362593890724E-6","7.952833764000926E-4","7.967230126594816E-4","1.72411028758041E-27"
"239643.8146417422","245107.2934948733","-133849.01202815204","179755.36045599473","183852.96958391942","-100409.2587271288","1","1.602176634E-19","3.950000000000001E-9","3.3444950551171926E-27","1.4396362593600475E-6","7.952833764002009E-4","7.96723012659561E-4","1.7241102883973205E-27"
"239643.81465074318","245107.29350408085","-133849.01203316447","179755.3604560106","183852.96958393732","-100409.25872711917","1","1.602176634E-19","4.0E-9","3.3444950551171926E-27","1.4396362475815542E-6","7.952833764003087E-4","7.967230126478903E-4","1.7241102861485343E-27"
"239643.81465974418","245107.2935132884","-133849.01203817694","179755.36045602645","183852.96958395522","-100409.25872710953","1","1.602176634E-19","4.05E-9","3.3444950551171926E-27","1.4396362632322284E-6","7.952833764004168E-4","7.96723012663649E-4","1.724110286377844E-27"
