energy (eV), scatter (barn), absorb (barn), total (barn)
1111.12,1.294893,10.3421696,11.6370626
1111.202,1.300656,10.5855196,11.8861756
1111.2769999999998,1.305193,10.7767396,12.0819326
1111.351,1.308937,10.9341596,12.2430966
1111.454,1.31287,11.0987196,12.4115896
1111.556,1.315233,11.1963896,12.5116226
1111.655,1.316026,11.2273096,12.5433356
1111.664,1.316024,11.2269696,12.5429936
1111.69,1.31595,11.2230396,12.5389896
1111.716,1.315772,11.2147296,12.5305016
1111.767,1.315126,11.1857596,12.5008856
1111.8700000000001,1.312632,11.0766396,12.3892716
1111.949,1.309666,10.9482096,12.2578756
1112.028,1.305822,10.7824996,12.0883216
1112.1029999999998,1.301401,10.5923696,11.8937706
1112.1779999999999,1.296271,10.3721995,11.6684705
1112.2930000000001,1.287147,9.98126054,11.2684075
1112.4080000000001,1.276683,9.53358354,10.8102665
1112.557,1.261505,8.88509353,10.1465985
1112.706,1.244985,8.18009053,9.42507553
1113.004,1.210033,6.69054752,7.90058052
1113.153,1.192583,5.94776551,7.14034851
1113.3020000000001,1.175711,5.2301635,6.4058745
1113.377,1.167545,4.8830295,6.0505745
1113.4509999999998,1.159748,4.5517165,5.7114645
1113.526,1.152138,4.22848249,5.38062049
1113.6,1.144942,3.92291949,5.06786149
1113.654,1.139896,3.70875949,4.84865549
1113.7359999999999,1.13258,3.39833549,4.53091549
1113.817,1.125773,3.10965548,4.23542848
1113.8990000000001,1.119314,2.83587548,3.95518948
1113.98,1.113362,2.58371648,3.69707848
1114.035,1.109562,2.42277847,3.53234047
1114.089,1.106018,2.27274847,3.37876647
1114.143,1.102656,2.13050047,3.23315647
1114.197,1.099473,1.99587647,3.09534947
1114.272,1.095341,1.82120146,2.91654246
