#LIBRARY    ENDF/B-VIII.0
#REACTION   N-14(N,TOT),SIG
#NUCLEUS    N-14
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 491200      2.88115      Lin-Lin
 491750      2.86832      Lin-Lin
 492000      2.86183      Lin-Lin
 492000      2.86183      Lin-Lin
 492100      2.85574      Lin-Lin
 492500      2.82644      Lin-Lin
 493000      2.78898      Lin-Lin
 494000      2.70438      Lin-Lin
 495969      2.56512      Lin-Lin
 496000      2.56326      Lin-Lin
 496031      2.56162      Lin-Lin
 497938      2.48253      Lin-Lin
 498000      2.48014      Lin-Lin
 498125      2.47698      Lin-Lin
 499969      2.43349      Lin-Lin
 500000      2.43291      Lin-Lin
 500028      2.43241      Lin-Lin
 500882      2.42139      Lin-Lin
 502000      2.40706      Lin-Lin
 509954      2.33092      Lin-Lin
 510000      2.33053      Lin-Lin
 510084      2.32997      Lin-Lin
 513598      2.30911      Lin-Lin
 520000      2.27385      Lin-Lin
 530000      2.22435      Lin-Lin
 540000      2.17651      Lin-Lin
 543809      2.15857      Lin-Lin
 550000      2.12472      Lin-Lin
 553880      2.10376      Lin-Lin
 560000      2.06826      Lin-Lin
 570000      2.00199      Lin-Lin
 580000      1.92355      Lin-Lin
 590000      1.82785      Lin-Lin
 599162      1.71996      Lin-Lin
 600000      1.71013      Lin-Lin
 602116      1.68332      Lin-Lin
 605000      1.64683      Lin-Lin
 609233      1.58712      Lin-Lin
 610000      1.57636      Lin-Lin
 611883      1.55726      Lin-Lin
 615000      1.52578      Lin-Lin
 618000      1.50329      Lin-Lin
 620000      1.49669      Lin-Lin
 622000      1.50734      Lin-Lin
 624250      1.53621      Lin-Lin
 625000      1.55005      Lin-Lin
 626000      1.57329      Lin-Lin
 628000      1.63496      Lin-Lin
 630000      1.71767      Lin-Lin
 635000      1.97776      Lin-Lin
 640000      2.23607      Lin-Lin
 640039      2.23785      Lin-Lin
 642000      2.3168       Lin-Lin
 644000      2.38472      Lin-Lin
 645000      2.41184      Lin-Lin
 646000      2.43734      Lin-Lin
 648000      2.47516      Lin-Lin
 650000      2.50098      Lin-Lin
 652000      2.51757      Lin-Lin
 655000      2.5267       Lin-Lin
 659000      2.52172      Lin-Lin
 660000      2.51821      Lin-Lin
 670000      2.46852      Lin-Lin
 680000      2.39006      Lin-Lin
 689594      2.33292      Lin-Lin
 700000      2.26866      Lin-Lin
 710000      2.21387      Lin-Lin
 719891      2.16602      Lin-Lin
 720000      2.16552      Lin-Lin
 740000      2.07493      Lin-Lin
 745220      2.05214      Lin-Lin
 760000      1.99286      Lin-Lin
 780000      1.91455      Lin-Lin
 800000      1.83746      Lin-Lin
 820000      1.76121      Lin-Lin
 840000      1.68557      Lin-Lin
 860000      1.60279      Lin-Lin
 866067      1.57782      Lin-Lin
 880000      1.5168       Lin-Lin
 900000      1.41942      Lin-Lin
 910000      1.36551      Lin-Lin
 920000      1.30729      Lin-Lin
 930000      1.24393      Lin-Lin
 940000      1.17516      Lin-Lin
 950000      1.10332      Lin-Lin
 955000      1.06787      Lin-Lin
 960000      1.03329      Lin-Lin
 965000      1.00689      Lin-Lin
 970000      0.994718     Lin-Lin
 975000      1.01016      Lin-Lin
 975000      1.01016      Lin-Lin
 980000      1.07615      Lin-Lin
 985000      1.22759      Lin-Lin
 990000      1.50227      Lin-Lin
 995000      1.90354      Lin-Lin
 1E+06       2.34468      Lin-Lin
 1E+06       2.34469      Lin-Lin
 1.005E+06   2.67568      Lin-Lin
 1.01E+06    2.81577      Lin-Lin
 1.012E+06   2.82414      Lin-Lin
 1.014E+06   2.81201      Lin-Lin
 1.014E+06   2.81201      Lin-Lin
 1.016E+06   2.78489      Lin-Lin
 1.018E+06   2.74707      Lin-Lin
 1.02E+06    2.69982      Lin-Lin
 1.0393E+06  2.25207      Lin-Lin
 1.04E+06    2.23581      Lin-Lin
 1.045E+06   2.14776      Lin-Lin
 1.05E+06    2.07202      Lin-Lin
 1.055E+06   2.00706      Lin-Lin
 1.06E+06    1.95204      Lin-Lin
 1.065E+06   1.90635      Lin-Lin
 1.065E+06   1.90635      Lin-Lin
 1.07E+06    1.86988      Lin-Lin
 1.075E+06   1.84344      Lin-Lin
 1.08E+06    1.82908      Lin-Lin
 1.085E+06   1.83097      Lin-Lin
 1.085E+06   1.83097      Lin-Lin
 1.09E+06    1.85747      Lin-Lin
 1.095E+06   1.92565      Lin-Lin
 1.0975E+06  1.99885      Lin-Lin
 1.1E+06     2.07207      Lin-Lin
 1.1025E+06  2.2258       Lin-Lin
 1.105E+06   2.37954      Lin-Lin
 1.11E+06    3.00915      Lin-Lin
 1.112E+06   3.37839      Lin-Lin
 1.1125E+06  3.47087      Lin-Lin
 1.114E+06   3.75671      Lin-Lin
 1.116E+06   4.03779      Lin-Lin
 1.117E+06   4.09584      Lin-Lin
 1.118E+06   4.08255      Lin-Lin
 1.118E+06   4.08255      Lin-Lin
 1.119E+06   4.00002      Lin-Lin
 1.12E+06    3.85941      Lin-Lin
 1.125E+06   2.89553      Lin-Lin
 1.1275E+06  2.56703      Lin-Lin
 1.13E+06    2.23852      Lin-Lin
 1.135E+06   1.8965       Lin-Lin
 1.14E+06    1.70986      Lin-Lin
 1.1425E+06  1.65406      Lin-Lin
 1.145E+06   1.59827      Lin-Lin
 1.15E+06    1.52595      Lin-Lin
 1.155E+06   1.47624      Lin-Lin
 1.1575E+06  1.45863      Lin-Lin
 1.16E+06    1.44104      Lin-Lin
 1.1625E+06  1.42859      Lin-Lin
 1.165E+06   1.41615      Lin-Lin
 1.17E+06    1.40037      Lin-Lin
 1.172E+06   1.3982       Lin-Lin
 1.174E+06   1.39605      Lin-Lin
 1.176E+06   1.39902      Lin-Lin
 1.176E+06   1.39902      Lin-Lin
 1.178E+06   1.40945      Lin-Lin
 1.18E+06    1.44019      Lin-Lin
 1.181E+06   1.47757      Lin-Lin
 1.18194E+06 1.55301      Lin-Lin
 1.182E+06   1.56103      Lin-Lin
 1.18212E+06 1.58581      Lin-Lin
 1.18294E+06 1.77249      Lin-Lin
 1.183E+06   1.7915       Lin-Lin
 1.1831E+06  1.83237      Lin-Lin
 1.1832E+06  1.88211      Lin-Lin
 1.1833E+06  1.94082      Lin-Lin
 1.1834E+06  2.00818      Lin-Lin
 1.1835E+06  2.08795      Lin-Lin
 1.1836E+06  2.17993      Lin-Lin
 1.1837E+06  2.28927      Lin-Lin
 1.18378E+06 2.3816       Lin-Lin
 1.1838E+06  2.41658      Lin-Lin
 1.1838E+06  2.41658      Lin-Lin
 1.18385E+06 2.48657      Lin-Lin
 1.18395E+06 2.64423      Lin-Lin
 1.184E+06   2.73057      Lin-Lin
 1.1841E+06  2.92118      Lin-Lin
 1.18425E+06 3.23067      Lin-Lin
 1.18438E+06 3.49052      Lin-Lin
 1.1844E+06  3.53529      Lin-Lin
 1.18445E+06 3.62484      Lin-Lin
 1.18452E+06 3.73742      Lin-Lin
 1.18458E+06 3.79539      Lin-Lin
 1.1846E+06  3.81328      Lin-Lin
 1.18462E+06 3.83116      Lin-Lin
 1.18469E+06 3.84471      Lin-Lin
 1.18475E+06 3.8322       Lin-Lin
 1.1848E+06  3.80072      Lin-Lin
 1.1848E+06  3.80071      Lin-Lin
 1.18485E+06 3.74611      Lin-Lin
 1.18492E+06 3.63262      Lin-Lin
 1.185E+06   3.49768      Lin-Lin
 1.1851E+06  3.28987      Lin-Lin
 1.1852E+06  3.07625      Lin-Lin
 1.18525E+06 2.96943      Lin-Lin
 1.18535E+06 2.77014      Lin-Lin
 1.1854E+06  2.67926      Lin-Lin
 1.18542E+06 2.6338       Lin-Lin
 1.18552E+06 2.47305      Lin-Lin
 1.1856E+06  2.36522      Lin-Lin
 1.18568E+06 2.27082      Lin-Lin
 1.18575E+06 2.18625      Lin-Lin
