#LIBRARY    ENDF/B-VIII.0
#REACTION   C-12(N,EL)C-12-L0,SIG
#NUCLEUS    C-12
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 8.005E+06   1.35377      Lin-Lin
 8.01E+06    1.30652      Lin-Lin
 8.014E+06   1.3334       Lin-Lin
 8.044E+06   1.29762      Lin-Lin
 8.053E+06   1.33035      Lin-Lin
 8.079E+06   1.32224      Lin-Lin
 8.08E+06    1.31532      Lin-Lin
 8.10002E+06 1.31839      Lin-Lin
 8.101E+06   1.33054      Lin-Lin
 8.105E+06   1.31819      Lin-Lin
 8.109E+06   1.30019      Lin-Lin
 8.12E+06    1.28185      Lin-Lin
 8.131E+06   1.24811      Lin-Lin
 8.138E+06   1.23293      Lin-Lin
 8.16E+06    1.15596      Lin-Lin
 8.166E+06   1.11617      Lin-Lin
 8.2E+06     0.973171     Lin-Lin
 8.21E+06    0.949136     Lin-Lin
 8.24E+06    0.920966     Lin-Lin
 8.2958E+06  0.86002      Lin-Lin
 8.2962E+06  0.857336     Lin-Lin
 8.32E+06    0.850912     Lin-Lin
 8.33E+06    0.837475     Lin-Lin
 8.4E+06     0.797566     Lin-Lin
 8.426E+06   0.800117     Lin-Lin
 8.448E+06   0.78521      Lin-Lin
 8.45E+06    0.77211      Lin-Lin
 8.48E+06    0.776158     Lin-Lin
 8.4995E+06  0.755978     Lin-Lin
 8.5E+06     0.750345     Lin-Lin
 8.52E+06    0.757093     Lin-Lin
 8.553E+06   0.73948      Lin-Lin
 8.60375E+06 0.755596     Lin-Lin
 8.611E+06   0.756315     Lin-Lin
 8.67775E+06 0.746927     Lin-Lin
 8.7E+06     0.745065     Lin-Lin
 8.708E+06   0.737237     Lin-Lin
 8.75E+06    0.718211     Lin-Lin
 8.768E+06   0.716072     Lin-Lin
 8.8E+06     0.706827     Lin-Lin
 8.833E+06   0.688985     Lin-Lin
 8.85E+06    0.67724      Lin-Lin
 8.885E+06   0.66827      Lin-Lin
 8.92E+06    0.638292     Lin-Lin
 8.94E+06    0.63768      Lin-Lin
 9E+06       0.630901     Lin-Lin
 9.005E+06   0.644164     Lin-Lin
 9.02E+06    0.64259      Lin-Lin
 9.03094E+06 0.65065      Lin-Lin
 9.045E+06   0.653814     Lin-Lin
 9.053E+06   0.669082     Lin-Lin
 9.067E+06   0.668498     Lin-Lin
 9.08E+06    0.685598     Lin-Lin
 9.149E+06   0.723364     Lin-Lin
 9.163E+06   0.736709     Lin-Lin
 9.2065E+06  0.732676     Lin-Lin
 9.25E+06    0.724834     Lin-Lin
 9.254E+06   0.733174     Lin-Lin
 9.3E+06     0.716961     Lin-Lin
 9.36E+06    0.699584     Lin-Lin
 9.4E+06     0.681409     Lin-Lin
 9.45E+06    0.671512     Lin-Lin
 9.5E+06     0.669317     Lin-Lin
 9.522E+06   0.669717     Lin-Lin
 9.553E+06   0.664561     Lin-Lin
 9.55888E+06 0.668421     Lin-Lin
 9.6E+06     0.671503     Lin-Lin
 9.63E+06    0.6802       Lin-Lin
 9.64E+06    0.687432     Lin-Lin
 9.68E+06    0.684446     Lin-Lin
 9.692E+06   0.68303      Lin-Lin
 9.7E+06     0.685384     Lin-Lin
 9.726E+06   0.670388     Lin-Lin
 9.74E+06    0.676178     Lin-Lin
 9.75E+06    0.669665     Lin-Lin
 9.8E+06     0.6845       Lin-Lin
 9.821E+06   0.683794     Lin-Lin
 9.83E+06    0.686268     Lin-Lin
 9.9E+06     0.671828     Lin-Lin
 9.917E+06   0.674061     Lin-Lin
 9.921E+06   0.667665     Lin-Lin
 1E+07       0.65676      Lin-Lin
 1.005E+07   0.643255     Lin-Lin
 1.0053E+07  0.637065     Lin-Lin
 1.017E+07   0.642064     Lin-Lin
 1.03E+07    0.628637     Lin-Lin
 1.0372E+07  0.635078     Lin-Lin
 1.04E+07    0.643319     Lin-Lin
 1.0478E+07  0.678131     Lin-Lin
 1.05E+07    0.690911     Lin-Lin
 1.0506E+07  0.690901     Lin-Lin
 1.0536E+07  0.701742     Lin-Lin
 1.055E+07   0.698282     Lin-Lin
 1.0553E+07  0.708482     Lin-Lin
 1.062E+07   0.725483     Lin-Lin
 1.069E+07   0.750885     Lin-Lin
 1.07E+07    0.752605     Lin-Lin
 1.075E+07   0.786176     Lin-Lin
 1.08E+07    0.812847     Lin-Lin
 1.083E+07   0.832597     Lin-Lin
 1.09E+07    0.873398     Lin-Lin
 1.094E+07   0.887449     Lin-Lin
 1.1E+07     0.86214      Lin-Lin
 1.1004E+07  0.85623      Lin-Lin
 1.1053E+07  0.866921     Lin-Lin
 1.1096E+07  0.863591     Lin-Lin
