#LIBRARY    ENDF/B-VIII.0
#REACTION   C-12(N,TOT),SIG
#NUCLEUS    C-12
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 4.93606E+06 3.77149      Lin-Lin
 4.93616E+06 3.89442      Lin-Lin
 4.93625E+06 3.99483      Lin-Lin
 4.93634E+06 4.0689       Lin-Lin
 4.93641E+06 4.094        Lin-Lin
 4.93644E+06 4.09624      Lin-Lin
 4.93648E+06 4.08431      Lin-Lin
 4.93653E+06 4.05277      Lin-Lin
 4.93656E+06 4.02095      Lin-Lin
 4.93662E+06 3.93417      Lin-Lin
 4.93669E+06 3.82334      Lin-Lin
 4.93681E+06 3.56491      Lin-Lin
 4.93694E+06 3.29895      Lin-Lin
 4.93706E+06 3.04869      Lin-Lin
 4.93719E+06 2.81686      Lin-Lin
 4.93731E+06 2.59895      Lin-Lin
 4.93741E+06 2.44776      Lin-Lin
 4.93747E+06 2.35647      Lin-Lin
 4.93753E+06 2.2746       Lin-Lin
 4.93762E+06 2.16906      Lin-Lin
 4.93772E+06 2.07894      Lin-Lin
 4.93781E+06 1.99786      Lin-Lin
 4.93794E+06 1.90089      Lin-Lin
 4.93803E+06 1.83892      Lin-Lin
 4.93812E+06 1.78681      Lin-Lin
 4.93825E+06 1.72805      Lin-Lin
 4.93844E+06 1.65226      Lin-Lin
 4.93856E+06 1.61069      Lin-Lin
 4.93875E+06 1.56097      Lin-Lin
 4.93894E+06 1.51898      Lin-Lin
 4.93912E+06 1.48496      Lin-Lin
 4.93938E+06 1.44883      Lin-Lin
 4.93962E+06 1.41969      Lin-Lin
 4.94E+06    1.3869       Lin-Lin
 4.9405E+06  1.3582       Lin-Lin
 4.941E+06   1.33313      Lin-Lin
 4.942E+06   1.30393      Lin-Lin
 4.943E+06   1.28653      Lin-Lin
 4.944E+06   1.27529      Lin-Lin
 4.946E+06   1.26182      Lin-Lin
 4.948E+06   1.25408      Lin-Lin
 4.952E+06   1.24541      Lin-Lin
 4.964E+06   1.23358      Lin-Lin
 4.978E+06   1.2261       Lin-Lin
 5.01E+06    1.20871      Lin-Lin
 5.03527E+06 1.19722      Lin-Lin
 5.06E+06    1.18598      Lin-Lin
 5.15E+06    1.14446      Lin-Lin
 5.26647E+06 1.09036      Lin-Lin
 5.28E+06    1.08447      Lin-Lin
 5.2975E+06  1.07684      Lin-Lin
 5.31E+06    1.07444      Lin-Lin
 5.3175E+06  1.07782      Lin-Lin
 5.32E+06    1.08082      Lin-Lin
 5.3225E+06  1.08391      Lin-Lin
 5.325E+06   1.08813      Lin-Lin
 5.33E+06    1.10365      Lin-Lin
 5.335E+06   1.1324       Lin-Lin
 5.34E+06    1.18543      Lin-Lin
 5.342E+06   1.21778      Lin-Lin
 5.344E+06   1.25957      Lin-Lin
 5.346E+06   1.31328      Lin-Lin
 5.348E+06   1.38194      Lin-Lin
 5.35E+06    1.46856      Lin-Lin
 5.352E+06   1.57514      Lin-Lin
 5.354E+06   1.70067      Lin-Lin
 5.358E+06   1.97372      Lin-Lin
 5.36E+06    2.08512      Lin-Lin
 5.362E+06   2.15223      Lin-Lin
 5.364E+06   2.16559      Lin-Lin
 5.366E+06   2.13065      Lin-Lin
 5.366E+06   2.13065      Lin-Lin
 5.368E+06   2.0627       Lin-Lin
 5.37E+06    1.97702      Lin-Lin
 5.372E+06   1.89111      Lin-Lin
 5.375E+06   1.76921      Lin-Lin
 5.38E+06    1.60818      Lin-Lin
 5.385E+06   1.49539      Lin-Lin
 5.39E+06    1.4165       Lin-Lin
 5.395E+06   1.35988      Lin-Lin
 5.4E+06     1.31794      Lin-Lin
 5.405E+06   1.28595      Lin-Lin
 5.41E+06    1.26094      Lin-Lin
 5.415E+06   1.24075      Lin-Lin
 5.42E+06    1.22436      Lin-Lin
 5.43E+06    1.19893      Lin-Lin
 5.44E+06    1.18034      Lin-Lin
 5.45E+06    1.16591      Lin-Lin
 5.47E+06    1.14511      Lin-Lin
 5.48E+06    1.13812      Lin-Lin
 5.5E+06     1.12454      Lin-Lin
 5.52E+06    1.11552      Lin-Lin
 5.54E+06    1.10681      Lin-Lin
 5.56E+06    1.1011       Lin-Lin
 5.6E+06     1.09031      Lin-Lin
 5.62E+06    1.08702      Lin-Lin
 5.68E+06    1.0782       Lin-Lin
 5.74E+06    1.07505      Lin-Lin
 5.76E+06    1.07427      Lin-Lin
 5.84E+06    1.07695      Lin-Lin
 5.9E+06     1.08327      Lin-Lin
 5.96E+06    1.09317      Lin-Lin
 6E+06       1.10278      Lin-Lin
 6.01E+06    1.10487      Lin-Lin
 6.04E+06    1.11417      Lin-Lin
 6.06E+06    1.11962      Lin-Lin
 6.08E+06    1.12783      Lin-Lin
 6.11E+06    1.14322      Lin-Lin
 6.12E+06    1.15045      Lin-Lin
 6.13E+06    1.15745      Lin-Lin
 6.15E+06    1.17675      Lin-Lin
 6.165E+06   1.19685      Lin-Lin
 6.175E+06   1.21378      Lin-Lin
 6.18E+06    1.22314      Lin-Lin
 6.1812E+06  1.22602      Lin-Lin
 6.19E+06    1.24714      Lin-Lin
 6.2E+06     1.2776       Lin-Lin
 6.21E+06    1.31788      Lin-Lin
 6.22E+06    1.37217      Lin-Lin
 6.23E+06    1.44726      Lin-Lin
 6.24E+06    1.55381      Lin-Lin
 6.245E+06   1.62375      Lin-Lin
 6.25E+06    1.70833      Lin-Lin
